lon,lat,name,address,pname,cityname,business_area,type,typecode,id,type1,type2,type3,type4
105.40013560678095,26.193621794072463,灵山寺,洗马河村靛山烟花爆竹经营店东南侧150米,贵州省,六盘水市,,风景名胜;风景名胜;寺庙道观,110205,B0FFM48MI1,风景名胜,风景名胜,寺庙道观,
105.42100107642362,26.102290136236576,月亮河布依文化生态园,130乡道与003县道交叉口北20米,贵州省,六盘水市,,风景名胜;风景名胜相关;旅游景点,110000,B0FFK6O52N,风景名胜,风景名胜相关,旅游景点,
105.39939790530529,26.139276519608543,布依神鼓,月亮河,贵州省,六盘水市,,风景名胜;风景名胜相关;旅游景点,110000,B0FFJ39VOQ,风景名胜,风景名胜相关,旅游景点,
105.39963473813562,26.13879021128738,铜鼓广场,布依神鼓东南侧50米,贵州省,六盘水市,,风景名胜;公园广场;城市广场,110105,B0KUFC5ML9,风景名胜,公园广场,城市广场,
105.39493794682217,26.141015974110985,龙脚布依古寨,130乡道西南侧,贵州省,六盘水市,,风景名胜;风景名胜相关;旅游景点,110000,B0FFL720H3,风景名胜,风景名胜相关,旅游景点,
105.39117082113997,26.168650559037097,桥梁十景之猴子岩(悟空石),新窑镇桥梁村,贵州省,六盘水市,,风景名胜;风景名胜;风景名胜,110200,B0H6N5ELQA,风景名胜,风景名胜,风景名胜,
105.58622979571092,26.07217845548756,可布村瀑布,落别布依族彝族乡可布村四组,贵州省,六盘水市,,风景名胜;风景名胜;风景名胜,110200,B0KA95Q5OZ,风景名胜,风景名胜,风景名胜,
105.41782495571431,26.25157975326065,那玉坝广场,南极路与西互通延伸线交叉口东北460米,贵州省,六盘水市,,风景名胜;公园广场;城市广场,110105,B0FFLP6486,风景名胜,公园广场,城市广场,
105.42370529567677,26.257533839460685,那玉庙,日洋能源六枝西站加油站南侧230米,贵州省,六盘水市,,风景名胜;风景名胜;寺庙道观,110205,B0KRJ9FFZ6,风景名胜,风景名胜,寺庙道观,
105.37719579514616,26.160623073014065,凉都月亮河夜郎布依文化生态园,西南部,贵州省,六盘水市,,风景名胜;风景名胜相关;旅游景点,110000,B0FFJ5JYUW,风景名胜,风景名胜相关,旅游景点,
105.40399111430249,26.25104498878189,六枝基督教教会神恩堂聚会点,S102省道往上云盘村方向道路的右侧,贵州省,六盘水市,,风景名胜;风景名胜;教堂,110206,B0FFK1Q861,风景名胜,风景名胜,教堂,
105.65249921224255,26.204845154937566,水井大坡,[],贵州省,六盘水市,,风景名胜;风景名胜相关;旅游景点,110000,B0FFMB738P,风景名胜,风景名胜相关,旅游景点,
105.37592941638808,26.23624903123335,新窑村刘家大坟,新窑村大坡上,贵州省,六盘水市,,风景名胜;风景名胜;风景名胜,110200,B0L3DL6FSQ,风景名胜,风景名胜,风景名胜,
105.37019780503064,26.240363294438588,凉都洞,新窑镇新窑村骂枝组,贵州省,六盘水市,,风景名胜;风景名胜;风景名胜,110200,B0I27UN9TG,风景名胜,风景名胜,风景名胜,
105.6764789307347,26.182999499086392,青龙古寺,木岗场村,贵州省,六盘水市,,风景名胜;风景名胜;寺庙道观,110205,B0FFM3N7WA,风景名胜,风景名胜,寺庙道观,
105.35834235640463,26.103408371661505,浪风台,九中旁,贵州省,六盘水市,,风景名胜;风景名胜相关;旅游景点,110000,B0GRAD3CJB,风景名胜,风景名胜相关,旅游景点,
105.3444099380111,26.149708452603218,萧氏宗祠,[],贵州省,六盘水市,,风景名胜;风景名胜;寺庙道观,110205,B0L0XSL50H,风景名胜,风景名胜,寺庙道观,
105.35535195573614,26.08529774562798,郎岱百草园,003县道附近,贵州省,六盘水市,,风景名胜;风景名胜;风景名胜,110200,B0FFI6JW1O,风景名胜,风景名胜,风景名胜,
105.46245802371958,26.216838409644073,文化公园,建设南路,贵州省,六盘水市,,风景名胜;公园广场;公园,110101,B035A00B2D,风景名胜,公园广场,公园,
105.46200991303026,26.220659529097155,六枝休闲广场,那平路与兴隆路交叉口东80米,贵州省,六盘水市,,风景名胜;公园广场;城市广场,110105,B035A0N9ZQ,风景名胜,公园广场,城市广场,
105.34817619073219,26.089820483976315,郎岱古镇,土司府大酒店东南侧230米,贵州省,六盘水市,,风景名胜;风景名胜;风景名胜,110200,B035A00BRX,风景名胜,风景名胜,风景名胜,
105.35916822096452,26.084145227081066,木城休闲广场,郎岱镇东山村,贵州省,六盘水市,,风景名胜;公园广场;城市广场,110105,B0FFJ30OE8,风景名胜,公园广场,城市广场,
