lon,lat,name,address,pname,cityname,business_area,type,typecode,id,type1,type2,type3,type4
105.14284694285608,25.79463701296359,罗记清真牛肉馆,320国道与古镇南路交叉口东60米,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;清真菜馆,050121,B035B0MSTU,餐饮服务,中餐厅,清真菜馆,
105.14477833639823,25.794122865554368,普田清真牛肉馆,"沙子镇红绿灯处,普田清真牛肉馆",贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;清真菜馆,050121,B0G1R72P5V,餐饮服务,中餐厅,清真菜馆,
104.95456278849149,25.787503772017004,清真园餐馆(南山路店),南山路,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;火锅店|餐饮服务;中餐厅;清真菜馆,050117|050121,B0G1PRLKVR,餐饮服务,中餐厅,火锅店|餐饮服务,中餐厅
105.1443700507084,25.79389304544069,龙门鱼府(沪瑞线店),沙子镇收费站出口红绿灯右拐20米,贵州省,黔西南布依族苗族自治州,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0FFK95VF1,餐饮服务,餐饮相关场所,餐饮相关,
104.95456278849149,25.787503772017004,清真园餐馆(南山路店),南山路,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;火锅店|餐饮服务;中餐厅;清真菜馆,050117|050121,B0G1PRLKVR,餐饮服务,中餐厅,火锅店|餐饮服务,中餐厅
105.1443700507084,25.79389304544069,龙门鱼府(沪瑞线店),沙子镇收费站出口红绿灯右拐20米,贵州省,黔西南布依族苗族自治州,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0FFK95VF1,餐饮服务,餐饮相关场所,餐饮相关,
104.95219554713199,25.78575807082017,东街辣子鸡,南山路与南大街交叉口西南140米,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;中餐厅,050100,B0FFJ4PBW2,餐饮服务,中餐厅,中餐厅,
104.95529206692403,25.78761614787422,金州人家石锅鱼家常菜,南山路与营盘路交叉口西140米,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;中餐厅,050100,B0FFG0QKSW,餐饮服务,中餐厅,中餐厅,
104.96247214152625,25.792543661295937,普安吴记脆皮猪脚,环城东路,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;中餐厅,050100,B0G2Y5SJR8,餐饮服务,中餐厅,中餐厅,
104.95569156835306,25.78766924570889,刘大师鸭爪爪特色火锅(普安店),南山路,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;火锅店,050117,B0I0GZ9OCC,餐饮服务,中餐厅,火锅店,
104.96055373991045,25.791892091746398,天元清真馆,普安大道与文笔大道交叉口西北220米,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;中餐厅,050100,B0KR1LOZZ8,餐饮服务,中餐厅,中餐厅,
104.95511173991775,25.78762957656645,张记老字号清真馆,南山路鱼头王隔壁,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;中餐厅,050100,B0FFI7Z4NM,餐饮服务,中餐厅,中餐厅,
104.9519831605591,25.789466839157924,CHAGEE霸王茶姬(东街店),西街88号,贵州省,黔西南布依族苗族自治州,,餐饮服务;冷饮店;冷饮店,050700,B0LRZL2IW6,餐饮服务,冷饮店,冷饮店,
104.96181277093021,25.792205124347813,馨隆脆皮猪脚,普天大道七星一街C-37号,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;中餐厅,050100,B0H06DDGDL,餐饮服务,中餐厅,中餐厅,
104.95621657052007,25.788212345463965,盘县鹅肉粉,盘水镇肖家巷南湖二幼旁,贵州省,黔西南布依族苗族自治州,,餐饮服务;快餐厅;快餐厅,050300,B0GRDUJS4P,餐饮服务,快餐厅,快餐厅,
104.95637695931116,25.788353053137417,老字号羊肉粉馆,阳光路与云盘路交叉口东南20米,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;中餐厅,050100,B0HU6940OK,餐饮服务,中餐厅,中餐厅,
104.96254784374939,25.792465419677008,兰香猪蹄豆米火锅,文笔大道与普天大道交叉口北150米,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;火锅店,050117,B0FFJ4AR99,餐饮服务,中餐厅,火锅店,
104.95982261284436,25.791460638986734,柴火小院(普安店),文笔新苑8号楼,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;综合酒楼,050101,B0FFKX8ACC,餐饮服务,中餐厅,综合酒楼,
