lon,lat,name,address,pname,cityname,business_area,type,typecode,id,type1,type2,type3,type4
104.85372405721299,26.729718053914798,鑫旺小吃店,凉都国学馆景区西侧480米,贵州省,六盘水市,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0MBR4PUNW,餐饮服务,餐饮相关场所,餐饮相关,
104.86225103934852,26.742140977500334,牧味鲜羊肉粉,明艳超市东北侧160米,贵州省,六盘水市,,餐饮服务;中餐厅;中餐厅,050100,B0L0PL1DNB,餐饮服务,中餐厅,中餐厅,
104.82785048813417,26.75514838117312,二姐烤鱼,013县道,贵州省,六盘水市,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0LDCOVO8R,餐饮服务,餐饮相关场所,餐饮相关,
104.82813876470081,26.755433902893095,金牛火锅店,那罗寨煤矿办公楼南侧,贵州省,六盘水市,,餐饮服务;中餐厅;火锅店,050117,B0J30C76YQ,餐饮服务,中餐厅,火锅店,
104.82767030157005,26.75529202941954,新春饭店,那罗寨煤矿办公楼西南侧60米,贵州省,六盘水市,,餐饮服务;中餐厅;中餐厅,050100,B0LKTUX1ZL,餐饮服务,中餐厅,中餐厅,
104.82680943818586,26.755290402817206,翠花火锅(总店),那罗寨煤矿办公楼西侧130米,贵州省,六盘水市,,餐饮服务;中餐厅;中餐厅,050100,B0MBRGQLF2,餐饮服务,中餐厅,中餐厅,
104.82743003525799,26.755896527277432,三合砂锅粉,那罗寨煤矿办公楼西侧70米,贵州省,六盘水市,,餐饮服务;中餐厅;中餐厅,050100,B0LULXBET4,餐饮服务,中餐厅,中餐厅,
104.82685247088124,26.755539464335364,正宗黑山羊羊肉粉馆,那罗寨煤矿办公楼西侧120米,贵州省,六盘水市,,餐饮服务;中餐厅;中餐厅,050100,B0L0BLVQPB,餐饮服务,中餐厅,中餐厅,
104.8271167128943,26.75608891978255,三角花园留一手烤鱼,那罗寨煤矿办公楼西侧100米,贵州省,六盘水市,,餐饮服务;中餐厅;特色/地方风味餐厅,050118,B0J6ZNAMXQ,餐饮服务,中餐厅,特色/地方风味餐厅,
104.82566321762654,26.756924104598333,那罗市壹号餐厅,汪家寨镇那罗寨煤矿农贸市场118号店铺,贵州省,六盘水市,,餐饮服务;中餐厅;中餐厅,050100,B0KDJN6FT0,餐饮服务,中餐厅,中餐厅,
104.85051070243087,26.709863634235937,相宏羊肉粉,大河镇大地村二组,贵州省,六盘水市,,餐饮服务;中餐厅;中餐厅,050100,B0KDJSZF5S,餐饮服务,中餐厅,中餐厅,
104.83593786161121,26.768461376957998,颜记粉面馆火锅店,木果镇中心学校西侧140米,贵州省,六盘水市,,餐饮服务;中餐厅;火锅店,050117,B0L6L7C0XQ,餐饮服务,中餐厅,火锅店,
